4,,ABUO_RS,ATEBUBU-AMANTIN,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,954.2,0.000034,34,0.18,958.7,0.000033,33,0.21,958.2,0.000033,33,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,ATEBUBU_GT,ATEBUBU-AMANTIN,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,950.7,0.000025,25,0.52,1860,0.000043,43,0.16,954.7,0.000032,32,0.23,1832,0.000035,35,0.22,951.2,0.000032,32,0.22,1836,0,36,0.26,0,0,0,0
4,,BONO_MANSO,NKORANZA,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,951.7,0.00003,30,0.29,1851,0.000054,54,0.02,946.2,0.000027,27,0.39,1857,0.000054,54,0.02,954.7,0.000026,26,0.47,1851,0,53,0.02,0,0,0,0
4,,BUI,TAIN,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,949.2,0.000037,37,0.15,946.2,0.000033,33,0.22,944.7,0.000028,28,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,DCS_TECHIMAN_GT,TECHIMAN,vodafone,0,0.00000024,0,0,948.2,0.000031,31,0.24,1851,0.00003,30,0.4,2169,0.000039,39,0.15,950.7,0.00003,30,0.28,1839,0.000032,32,0.31,2164,0.000042,42,0.11,950.7,0.000024,24,0.55,1854,0,36,0.19,2128,0,36,0.22
4,,BREDI_NO_1,NKORANZA,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,954.3,0.000034,34,0.19,956.1,0.000035,35,0.2,958.1,0.000033,33,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,1910WENCHI_2,WENCHI,mtn,0,0.00000005,0,0,1844,0.000048,48,0.05,2130,0.000049,49,0.04,958.2,0.000022,22,0.7,1844,0.000044,44,0.07,2129,0.000052,52,0.03,956.2,0.000021,21,0.81,1844,0.000039,39,0.14,2129,0,45,0.07,956.2,0,23,0.62
4,,1959BUSUNYA,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,956.3,0.000023,23,0.65,0,0,0,0,957.6,0.000019,19,1.07,956.7,0.000025,25,0.5,0,0,0,0,0,0,0,0,0,0,0,0
4,,1960OFFUMAN,TECHIMAN,mtn,0,0,0,0,0,0,0,0,0,0,0,0,954.2,0.000025,25,0.57,952.2,0.000022,22,0.72,956.7,0.000028,28,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,1964DROMANKESE,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,952.2,0.000029,29,0.34,1856,0.000037,37,0.17,957.7,0.000024,24,0.58,1880,0.00004,40,0.13,957.2,0.000024,24,0.64,1854,0,34,0.26,0,0,0,0
4,,1976DONKO_KONTA,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,959.2,0.000025,25,0.5,1830,0.000034,34,0.29,954.7,0.00002,20,0.98,1860,0.00004,40,0.12,958.2,0.000019,19,1.05,1860,0,37,0.17,0,0,0,0
4,,1978DAMA_KONTA,ATEBUBU,mtn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.2,0.000022,22,0.71,957.2,0.000021,21,0.78,952.2,0.000022,22,0.71,959.2,0.000021,21,0.84,0,0,0,0,0,0,0,0
4,,1982ZABRAMA,ATEBUBU,mtn,0,0,0,0,0,0,0,0,0,0,0,0,953.2,0.000019,19,1.06,957.2,0.00002,20,0.96,958.3,0.000025,25,0.53,959.2,0.000019,19,0.98,0,0,0,0,0,0,0,0,0,0,0,0
4,,2622KWAME_DURO,SENE,mtn,0,0,0,0,0,0,0,0,0,0,0,0,959.2,0.000023,23,0.64,959.2,0.000023,23,0.64,959.2,0.00002,20,0.86,958.7,0.00002,20,0.97,959.2,0.00003,30,0.28,0,0,0,0,0,0,0,0
4,,2630BONSU_FIASO,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,953.7,0.000017,17,1.28,1853,0.000039,39,0.14,955.2,0.000024,24,0.6,1853,0.000043,43,0.09,958.7,0.000027,27,0.42,1853,0,47,0.05,0,0,0,0
4,,2631MANSO,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,959.7,0.000024,24,0.6,1851,0.000052,52,0.03,957.7,0.000022,22,0.74,1851,0.000046,46,0.06,958.2,0.000017,17,1.32,1851,0,46,0.06,0,0,0,0
4,,2663SIKA,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.7,0.000025,25,0.48,1851,0.000043,43,0.09,955.2,0.000024,24,0.58,1856,0.000038,38,0.16,956.7,0,27,0.42,1851,0,39,0.17
4,,2664BONTEE,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,959.2,0.000024,24,0.55,1824,0.000069,69,0,957.7,0.000022,22,0.69,1832,0.000068,68,0,957.7,0.000025,25,0.5,1832,0,68,0,0,0,0,0
4,,2682TANOBOASE,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,954.2,0.000019,19,0.98,1860,0.000069,69,0,953.7,0.000022,22,0.71,1854,0.000065,65,0,957.7,0.000024,24,0.56,1854,0,64,0,0,0,0,0
4,,2685JATO_ZONGO,ATEBUBU,mtn,0,0,0,0,0,0,0,0,0,0,0,0,955.2,0.000022,22,0.71,954.7,0.000022,22,0.79,958.7,0.000024,24,0.55,958.7,0.000025,25,0.48,0,0,0,0,0,0,0,0,0,0,0,0
4,,2686LEMU,SENE,mtn,0,0,0,0,0,0,0,0,0,0,0,0,954.7,0.000023,23,0.69,959.2,0.00002,20,0.88,958.7,0.000025,25,0.55,954.7,0.000021,21,0.8,0,0,0,0,0,0,0,0,0,0,0,0
4,,2688TECHI_ZONGO,TECHIMAN,mtn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,2691TECHIMAN_6,TECHIMAN,mtn,0,0.00000112,0,0,958.7,0.000018,18,1.12,1851,0.000033,33,0.27,2162,0.000037,37,0.19,957.7,0.000017,17,1.35,1823,0.000035,35,0.22,2163,0.000042,42,0.11,957.7,0.000021,21,0.93,1851,0,38,0.16,2163,0,43,0.09
4,,2696KINTAMPO_3,KINTAMPO,mtn,0,0.00000024,0,0,2163,0.000035,35,0.24,1832,0.000039,39,0.14,952.2,0.000024,24,0.58,1836,0.000041,41,0.11,2123,0.000045,45,0.07,952.2,0.000036,36,0.14,1851,0.000038,38,0.15,2122,0,36,0.21,952.2,0,22,0.73
4,,2697KINTAMPO_4,KINTAMPO,mtn,0,0.00000039,0,0,958.2,0.000027,27,0.39,1830,0.000036,36,0.21,2162,0.000032,32,0.36,959.2,0.00003,30,0.27,1830,0.000036,36,0.19,2163,0.000035,35,0.4,959.2,0.000029,29,0.33,1830,0,34,0.25,2169,0,33,0.31
4,,2903ABUOSO,TECHIMAN,mtn,0,0.0000009,0,0,957.7,0.000021,21,0.9,1850,0.000052,52,0.03,2163,0.000043,43,0.1,957.2,0.000019,19,1.14,1856,0.000056,56,0.02,2163,0.000052,52,0.03,958.7,0.000019,19,1.03,1856,0,52,0.03,2163,0,50,0.06
4,,2907YEJI_2,ATEBUBU,mtn,0,0,0,0,0,0,0,0,0,0,0,0,956.2,0.000017,17,1.22,1835,0.000038,38,0.16,957.2,0.000021,21,0.91,1845,0.000039,39,0.14,957.7,0.000024,24,0.57,1836,0,38,0.18,0,0,0,0
4,,2912KENTEN_2,TECHIMAN,mtn,0,0.00000006,0,0,2138,0.000046,46,0.06,1833,0.00003,30,0.4,959.2,0.00002,20,1.1,1823,0.000037,37,0.17,2164,0.000052,52,0.03,955.2,0.000019,19,0.97,1833,0.000034,34,0.26,2163,0,51,0.04,958.7,0,17,1.3
4,,2913MAPRUSI_LIN,TECHIMAN,mtn,0,0.00000035,0,0,1854,0.000031,31,0.35,2163,0.000056,56,0.02,951.2,0.00002,20,1.14,1830,0.000028,28,0.52,2162,0.000057,57,0.02,957.2,0.000023,23,0.87,1833,0.000031,31,0.34,2163,0,48,0.05,958.7,0,22,0.75
4,,2914GARADIMA,SENE,mtn,0,0,0,0,0,0,0,0,0,0,0,0,952.2,0.000025,25,0.53,952.2,0.000022,22,0.76,958.7,0.000028,28,0.34,958.7,0.000026,26,0.49,0,0,0,0,0,0,0,0,0,0,0,0
4,,2916BANDA_GBAO,WENCHI,mtn,0,0,0,0,0,0,0,0,0,0,0,0,957.2,0.000023,23,0.71,956.2,0.000019,19,1.07,957.7,0.000017,17,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,2917AKUMA,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,957.7,0.000027,27,0.74,957.7,0.000024,24,0.8,954.2,0.000021,21,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,2920KOASE,WENCHI,mtn,0,0,0,0,0,0,0,0,0,0,0,0,957.7,0.000016,16,1.51,1860,0.000068,68,0,954.2,0.000018,18,1.28,1824,0.000068,68,0,955.7,0.000019,19,0.99,1824,0,66,0,0,0,0,0
4,,3942FIASO,NKORANZA,mtn,0,0,0,0,0,0,0,0,0,0,0,0,952.7,0.00002,20,0.92,952.7,0.000014,14,1.81,952.2,0.000015,15,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,2892TWFO_MAMPON,TWIFO-HEMAN/LOWER DENKYIRA,mtn,0,0,0,0,954.7,0.00078951,789.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,Agona,Sekyere South,tigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,Deduako,Kumasi Metropolitan,tigo,0,0,0,0,943.7,0,0,0,951.2,0,0,0,1835,0.000257,0,0,1856,0,0,0,1872,0,0,0,2122,0.000189,0,0,2129,0,0,0,2164,0,0,0,0,0,0,0
4,,Atebubu,Atebubu - Amantin,tigo,0,0,0,0,0,0,0,0,1854,0.000049,49,0.05,953.2,0.000035,35,0.15,1854,0.000046,46,0.06,952.7,0.000039,39,0.09,1854,0.000037,37,0.31,952.7,0.000041,41,0.08,1853,0.000047,47,0.07,9472,0.000033,33,0.2
4,,Dawadawa,Kintampo North Municipal,tigo,0,0,0,0,0,0,0,0,0,0,0,0,944.2,0.000029,29,0.33,952.7,0.00003,30,0.27,944.2,0.000032,32,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Kintampo,WENCHI,airtel,0,0.00000002,0,0,2121,0.000058,58,0.02,1832,0.000052,52,0.04,938.7,0.000031,31,0.24,1831,0.000047,47,0.05,2123,0.00005,50,0.04,954.2,0.000033,33,0.2,1841,0.000045,45,0.08,2122,0.000049,49,0.04,956.2,0.000036,36,0.14
4,,Kintampo,KINTAMPO,expresso,0,0.00000002,0,0,2121,0.000058,58,0.02,1832,0.000052,52,0.04,938.7,0.000031,31,0.24,1831,0.000047,47,0.05,2123,0.00005,50,0.04,954.2,0.000033,33,0.2,1841,0.000045,45,0.08,2122,0.000049,49,0.04,956.2,0.000036,36,0.14
4,,Kintampo,Kintampo North Municipal,tigo,0,0.00000002,0,0,2121,0.000058,58,0.02,1832,0.000052,52,0.04,938.7,0.000031,31,0.24,1831,0.000047,47,0.05,2123,0.00005,50,0.04,954.2,0.000033,33,0.2,1841,0.000045,45,0.08,2122,0.000049,49,0.04,956.2,0.000036,36,0.14
6,,Kwamang,SEKYERE,airtel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,KWAMANG,SEKYERE EAST,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,Kwamang,Sekyere Central,tigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Yeji,ATEBUBU,airtel,0,0,0,0,0,0,0,0,1839,0.000055,55,0.02,934.2,0.000028,28,0.54,1839,0.000056,56,0.01,937.2,0.000032,32,0.22,1832,0.000057,57,0.01,954.2,0.000033,33,0.2,1838,0.000058,58,0.01,936.2,0.00003,30,0.29
4,,Tuobodom,TECHIMAN,airtel,0,0.00000012,0,0,1854,0.00004,40,0.12,2138,0.000032,32,0.37,946.7,0.000024,24,0.55,1854,0.000045,45,0.07,2164,0.000034,34,0.27,946.7,0.000026,26,0.46,1854,0.000047,47,0.05,2151,0,32,0.37,944.7,0,27,0.42
4,,Yeji,PRU,expresso,0,0,0,0,0,0,0,0,1839,0.000055,55,0.02,934.2,0.000028,28,0.54,1839,0.000056,56,0.01,937.2,0.000032,32,0.22,1832,0.000057,57,0.01,954.2,0.000033,33,0.2,1838,0.000058,58,0.01,936.2,0.00003,30,0.29
4,,TUOBODOM,TECHIMAN,vodafone,0,0.00000012,0,0,1854,0.00004,40,0.12,2138,0.000032,32,0.37,946.7,0.000024,24,0.55,1854,0.000045,45,0.07,2164,0.000034,34,0.27,946.7,0.000026,26,0.46,1854,0.000047,47,0.05,2151,0,32,0.37,944.7,0,27,0.42
