GH 0360,GARU,GARU,AIRTEL,959.20,0.00004,40,0.1,1823,0.000054,54,0.02,,,,,952.7,0.000069,69,0.17,1830,0.000055,55,0.05,,,,,952.7,0.000043,43,0.13,1826,0.000058,58,0.01,,,,,,,
UEB-5521,GBEDEMA,GBEDEMA,VODAFONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,GOBAGA,GOBAGA,MTN,957.2,0.000016,16,1.40,1854,0.000063,63,0.01,2163,0.000067,67,0.00,957.7,0.000019,19,1.02,1854,0.000069,69,0.01,2122,0.000068,68,0.00,959.2,0.000024,24,0.78,1856,0.000066,66,0.07,2162,0.000048,48,0.03,,,
,GUOHE,GUOHE,EXPRESSO,950.7,0.000068,68,0.04,1808,0.000048,48,0.05,,,,,953.2,0.000068,68,0.07,1808,0.000048,48,0.05,,,,,950.2,0.000069,69,0.04,1808,0.000048,48,0.05,,,,,,,
GH 0356,Kolongo,KALONGO,AIRTEL/MTN,957.70,0.00002532,25.32,0.01,1867,0.00009631,96.31,0.01,,,,,954.7,0.0000237,23.7,0.01,1883,0.00011227,112.27,0.01,,,,,952.7,0.00005341,53.41,0.01,1807,0.00011352,113.52,0.01,,,,,,,
,1621KETIU,KATIN,MTN,953.20,0.00001937,19.37,0,1808,0.00013267,132.67,0.01,,,,,953.2,0.00010341,103.41,0.01,1806,0.00022413,224.13,0,,,,,954.2,0.00001493,14.93,0.01,1809,0.00006237,62.37,0.01,,,,,,,
,Katiu(Tumu-B-road03),KATIN,EXPRESSO,955.20,0.00003809,38.09,0.01,1847,0.00006307,63.07,0.01,,,,,953.2,0.00003717,37.17,0.02,1874,0.00006237,62.37,0.01,,,,,956.3,0.00003827,38.27,0.01,1872,0.00006431,64.31,0.02,,,,,,,
UE 1622,KONGO,KONGO,MTN,954.2,0.000019,19,0.98,1870,0.000062,62,0.14,,,,,958.7,0.000028,28,0.38,1860,0.000063,63,0.19,,,,,953.2,0.000023,23,0.63,1860,0.000061,61,0.17,,,,,,,
UEB 5522,KONGO,KONGO,VODAFONE,950.2,0.000039,39,0.33,1853,0.00007,70,0.01,,,,,954.2,0.000039,39,0.16,1823,0.000059,59,0.01,,,,,948.2,0.000051,51,0.21,1821,0.000063,63,0.00,,,,,,,
GH 0808,KONGO,KONGO,AIRTEL,953.2,0.000058,58,0.13,1883,0.000065,65,0.00,,,,,950.2,0.000069,69,0.24,1823,0.000069,69,0.00,,,,,953.2,0.000069,69,0.29,1823,0.000067,67,0.00,,,,,,,
2951,2951KULUGUNGU,KULUGUNGU,MTN,958.20,0.000021,21,1.1,1827,0.000067,67,0,,,,,957.2,0.000018,18,1.14,1821,0.000068,68,,,,,,959.2,0.000021,21,1.31,1827,0.000063,63,0,,,,,,,
UER-5533,KUSANABA,KUSANABA,VODA,956.20,0.000037,37,0.2,,,,,,,,,959.2,0.000054,54,0.19,,,,,,,,,944.2,0.000047,47,0.24,,,,,,,,,,,
2927,NAGA,NAGA,MTN,949.70,0.00006432,64.32,0.01,1883,0.00012134,121.34,0.00,,,,,940.2,0.00000407,4.07,0.01,1807,0.00010137,101.37,0.01,,,,,959.8,0.00009847,98.47,0.01,1880,0.0009541,954.1,0.01,,,,,,,
GH 0355,NAKONG,NAKONG,AIRTEL,944.70,0.00000654,6.54,0.01,1800,0.00013307,133.07,0.01,,,,,959.7,0.00000567,5.67,0.01,1867,0.00010227,102.27,0,,,,,940.2,0.00005408,54.08,0.01,1841,0.00007537,75.37,0.01,,,,,,,
UEB-5504,NAKONG,NAKONG,VODAFONE,944.70,0.0000367,36.7,0.01,1800,0.00001524,15.24,0.01,,,,,950.2,0.00000552,5.52,0.01,1860,0.00011237,112.37,0.01,,,,,959.2,0.00000558,5.58,0.01,1884,0.00022147,221.47,0.01,,,,,,,
UEB 5505,0715NAVRONGO_1,NAVRONGO,MTN,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
UEB 5505,NAVRONGO,NAVRONGO,VODAFONE,959.7,0.00034562,345.62,0.02,1839,0.00011304,113.04,0.01,2122,0.00002145,21.45,0.01,958.2,0.00010872,108.72,0.01,1851,0.00039707,397.07,0.03,2123,0.0001135,113.5,0.01,959.2,0.00010515,105.15,0.01,1832,0.00038012,380.12,0.02,2123,0,,,,,
,NAVRONGO,NAVRONGO,TIGO,953.2,0.00005764,57.64,0.01,1884,0.0001027,102.7,0.01,2163,0.00012163,121.63,0.03,952.2,0.00004718,47.18,0.01,1883,0.00011231,112.31,0.01,2124,0.00010137,101.37,0.01,953.7,0.00002718,27.18,0.01,1807,0.00013327,133.27,0.01,2163,0.00012437,124.37,0.01,,,
2609,2609NAVRONGO_3,NAVRONGO,MTN,953.2,0.00013008,130.08,0.01,1823,0.00002172,21.72,0.01,,,,,956.2,0.00011839,118.39,0.03,1821,0.00019447,194.47,0.01,0,0,0,0.00,959.2,0.00026778,267.78,0.03,1834,0.00011237,112.37,0.01,,,127.16,0.01,,,
,NAVRONGO,NAVRONGO,EXPRESSO,953.2,0.00008704,87.04,0.01,1823,0.00036001,360.01,0.06,,,,,959.2,0.00011902,119.02,0.01,1823,0.00004707,47.07,0.01,0,0,0,0.00,953.2,0.00000671,6.71,0.01,1807,0.00008732,87.32,0.01,,,134.17,0.01,,,
3655,3655NAVRNGO_MIS,NAVRONGO,MTN,952.2,0.00012463,124.63,0.01,1886,0.00011131,111.31,0.01,,,,,955.2,0.00001386,13.86,0.01,1887,0.00006243,62.43,0.01,0,0,0,0.00,957.2,0.00012736,127.36,0.01,1809,0.00011331,113.31,0.01,,,,0.00,,,
GH 0158,NAVRONGO,NAVRONGO,AIRTEL,954.2,0.00005176,51.76,0.01,1863,0.00009631,96.31,0.01,2123,0.00012813,128.13,0.01,940.2,0.00000659,6.59,0.01,1884,0.00006729,67.29,0.01,2134,0.00001367,13.67,0.01,954.2,0.00000701,7.01,0.01,1809,0.00009642,96.42,0.01,2122,0,,0.00,,,
719,0719NAVRONGO_2,NAVRONGO 2,MTN,957.20,0.00026184,261.84,0.02,1853,0.00010217,102.17,0.01,2139,0.00012366,123.66,0.02,958.7,0.00012437,124.37,0.01,1853,0.0002748,274.8,0.02,2138,0.00004731,47.31,0.01,953.2,0.00005273,52.73,0.01,1806,0.00013438,134.38,0.01,37.24,0.00009201,92.01,0.02,,,
UEB-5552,NAVRONGO_UDS_CAMPUS,NAVRONGO UDS,VODAFONE/AIRTEL/MTN,1879,0.00005728,57.28,0.01,1884,0.00008917,89.17,0.01,2123,0.00002552,25.52,0.01,946.2,0.00010982,109.82,0.01,1886,0.00022713,227.13,0.01,2121,0.00003318,33.18,0.01,2121,0.00003318,33.18,0.01,1807,0.00012834,128.34,0.01,2124,0.00008634,86.34,0.01,,,
2926,NAYAGENIA,NAYAGENIA,MTN,953.70,0.00005181,51.81,0.01,1809,0.00013121,131.21,0.01,,,,,955.2,0.00013276,132.76,0.01,1806,0.00012271,122.71,0.01,,,,,953.2,0.00006418,64.18,0.01,1884,0.00006221,62.21,0.01,,,,,,,
,PAGA,PAGA,MTN,957.2,0.00012931,129.31,0.02,1880,0.00001351,13.51,0.01,,,,0.00,158.7,0.00008153,81.53,0.01,1884,0.00009641,96.41,0.01,,,,,956.7,0.00022141,221.41,0.01,1809,0.00022637,226.37,0.02,,,53,0.03,,,
1545,PAGA,PAGA,TIGO,957.2,0.00010451,104.51,0.01,1883,0.00012107,121.07,0.01,,,,0.00,956.2,0.00001537,15.37,0.01,1889,0.00003417,34.17,0.01,,,,,940.2,0.00003771,37.71,0.01,1838,0.00004231,42.31,0.00,,,56,0.37,,,
