,,,,,,,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
4,DCS_TECHIMAN_GT,-1.932930,7.583450,1800M,TECHIMAN,BRONG AHAFO,vodafone,0,0.00000024,0,0,948.2,0.000031,31,0.24,1851,0.00003,30,0.4,2169,0.000039,39,0.15,950.7,0.00003,30,0.28,1839,0.000032,32,0.31,2164,0.000042,42,0.11,950.7,0.000024,24,0.55,1854,0,36,0.19,2128,0,36,0.22,,,
4,BREDI_NO_1,-1.52942831,7.48769645,900M,NKORANZA,BRONG AHAFO,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,954.3,0.000034,34,0.19,956.1,0.000035,35,0.2,958.1,0.000033,33,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,1910WENCHI_2,-2.11169000,7.74031000,900MHZ,WENCHI,Brong Ahafo Region,mtn,0,0.00000005,0,0,1844,0.000048,48,0.05,2130,0.000049,49,0.04,958.2,0.000022,22,0.7,1844,0.000044,44,0.07,2129,0.000052,52,0.03,956.2,0.000021,21,0.81,1844,0.000039,39,0.14,2129,0,45,0.07,956.2,0,23,0.62,,,
4,1959BUSUNYA,-1.66005000,7.69082000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,956.3,0.000023,23,0.65,0,0,0,0,957.6,0.000019,19,1.07,956.7,0.000025,25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,1960OFFUMAN,-1.96911000,7.79162000,900MHZ,TECHIMAN,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,954.2,0.000025,25,0.57,952.2,0.000022,22,0.72,956.7,0.000028,28,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,1964DROMANKESE,-1.55583000,7.71179000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,952.2,0.000029,29,0.34,1856,0.000037,37,0.17,957.7,0.000024,24,0.58,1880,0.00004,40,0.13,957.2,0.000024,24,0.64,1854,0,34,0.26,0,0,0,0,,,
4,1976DONKO_KONTA,-1.65947000,7.43456000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,959.2,0.000025,25,0.5,1830,0.000034,34,0.29,954.7,0.00002,20,0.98,1860,0.00004,40,0.12,958.2,0.000019,19,1.05,1860,0,37,0.17,0,0,0,0,,,
4,1978DAMA_KONTA,-1.17830000,7.95883000,900MHZ,ATEBUBU,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.2,0.000022,22,0.71,957.2,0.000021,21,0.78,952.2,0.000022,22,0.71,959.2,0.000021,21,0.84,0,0,0,0,0,0,0,0,,,
4,1982ZABRAMA,-1.38455205,7.98819792,900MHZ,ATEBUBU,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,953.2,0.000019,19,1.06,957.2,0.00002,20,0.96,958.3,0.000025,25,0.53,959.2,0.000019,19,0.98,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,2622KWAME_DURO,-0.43250000,7.79128000,900MHZ,SENE,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,959.2,0.000023,23,0.64,959.2,0.000023,23,0.64,959.2,0.00002,20,0.86,958.7,0.00002,20,0.97,959.2,0.00003,30,0.28,0,0,0,0,0,0,0,0,,,
4,2630BONSU_FIASO,-1.79255000,7.54447000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,953.7,0.000017,17,1.28,1853,0.000039,39,0.14,955.2,0.000024,24,0.6,1853,0.000043,43,0.09,958.7,0.000027,27,0.42,1853,0,47,0.05,0,0,0,0,,,
4,2631MANSO,-1.84688000,7.69878000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,959.7,0.000024,24,0.6,1851,0.000052,52,0.03,957.7,0.000022,22,0.74,1851,0.000046,46,0.06,958.2,0.000017,17,1.32,1851,0,46,0.06,0,0,0,0,,,
4,2663SIKA,-1.78086000,7.64650000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.7,0.000025,25,0.48,1851,0.000043,43,0.09,955.2,0.000024,24,0.58,1856,0.000038,38,0.16,956.7,0,27,0.42,1851,0,39,0.17,,,
4,2664BONTEE,-1.73363000,7.54858000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,959.2,0.000024,24,0.55,1824,0.000069,69,0,957.7,0.000022,22,0.69,1832,0.000068,68,0,957.7,0.000025,25,0.5,1832,0,68,0,0,0,0,0,,,
4,2682TANOBOASE,-1.86733000,7.66221000,900MHZ,NKORANZA,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,954.2,0.000019,19,0.98,1860,0.000069,69,0,953.7,0.000022,22,0.71,1854,0.000065,65,0,957.7,0.000024,24,0.56,1854,0,64,0,0,0,0,0,,,
4,2685JATO_ZONGO,-1.06280556,7.64818600,900MHZ,ATEBUBU,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,955.2,0.000022,22,0.71,954.7,0.000022,22,0.79,958.7,0.000024,24,0.55,958.7,0.000025,25,0.48,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,2686LEMU,-0.61963000,7.75640000,900MHZ,SENE,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,954.7,0.000023,23,0.69,959.2,0.00002,20,0.88,958.7,0.000025,25,0.55,954.7,0.000021,21,0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,2688TECHI_ZONGO,-1.93436111,7.58580556,900MHZ,TECHIMAN,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,2691TECHIMAN_6,-1.92583333,7.57972222,900MHZ,TECHIMAN,Brong Ahafo Region,mtn,0,0.00000112,0,0,958.7,0.000018,18,1.12,1851,0.000033,33,0.27,2162,0.000037,37,0.19,957.7,0.000017,17,1.35,1823,0.000035,35,0.22,2163,0.000042,42,0.11,957.7,0.000021,21,0.93,1851,0,38,0.16,2163,0,43,0.09,,,
4,2696KINTAMPO_3,-1.72527778,8.06352778,900MHZ,KINTAMPO,Brong Ahafo Region,mtn,0,0.00000024,0,0,2163,0.000035,35,0.24,1832,0.000039,39,0.14,952.2,0.000024,24,0.58,1836,0.000041,41,0.11,2123,0.000045,45,0.07,952.2,0.000036,36,0.14,1851,0.000038,38,0.15,2122,0,36,0.21,952.2,0,22,0.73,,,
4,2697KINTAMPO_4,-1.73041000,8.04428000,900MHZ,KINTAMPO,Brong Ahafo Region,mtn,0,0.00000039,0,0,958.2,0.000027,27,0.39,1830,0.000036,36,0.21,2162,0.000032,32,0.36,959.2,0.00003,30,0.27,1830,0.000036,36,0.19,2163,0.000035,35,0.4,959.2,0.000029,29,0.33,1830,0,34,0.25,2169,0,33,0.31,,,
