,Berekum(old186),BA,EXPRESSO,954.20,0.00000009,37,0.14,958.2,0.000039,39.00,0.09,958.2,0.000037,37.00,0.12,1854,0.000042,42.00,0.1,1854,0.000042,42.00,0.1,1854,0.000041,41.00,0.11,2162,0.00005,,50.00,0.04,2162,0.000046,46.00,0.07,2162,,52.00,0.03,,,,
Bab2069,BEREKUM_CONTINENTAL,BA,Vodafone/Airtel,953.20,0.00000104,19,1.02,953.2,0.000019,19.00,1.04,950.7,0.000023,23.00,0.63,1851,0.000034,34.00,0.26,1851,0.000027,27.00,0.55,18.59,0.000028,28.00,0.51,2162,0.000029,,29.00,0.51,21.38,0.000038,38.00,0.19,2162,,31.00,0.38,,,,
1242,Brekum,BA,Tigo,954.70,0.00000029,29,0.32,954.7,0.00003,30.00,0.29,954.7,0.000026,26.00,0.44,1856,0.000048,48.00,0.04,1854,0.000048,48.00,0.05,1853,0.000049,49.00,0.04,2162,0.000052,,52.00,0.03,2162,0.000049,49.00,0.05,2163,,42.00,0.13,,,,
1876,Brekum Kato,BA,Tigo,952.20,0.00000038,37,0.12,943.7,0.00003,30.00,0.38,953.2,0.00003,30.00,0.28,1853,0.00005,50.00,0.04,1853,0.000042,42.00,0.09,1832,0.000049,49.00,0.04,2122,0.000051,,51.00,0.04,2122,0.000048,48.00,0.05,2124,,53.00,,,,,
1836,Brekum_Zongo,BA,Tigo/Airtel,954.70,0.00000025,30,0.28,954.1,0.000031,31.00,0.25,954.7,0.000032,32.00,0.22,1854,0.000038,38.00,0.16,1832,0.000041,41.00,0.1,1854,0.00005,50.00,0.04,2162,0.000034,,34.00,0.29,2163,0.000034,34.00,0.29,2162,,32.00,0.34,,,,
,Chiraa,BA,Expresso/Tigo/Vodafone,956.70,0.00000008,29,0.34,952.7,0.00004,40.00,0.08,958.2,0.000038,38.00,0.1,1844,0.000032,32.00,0.31,1853,0.00004,40.00,1853,39,0.00000013,0.13,,,,,,,,,,,,,,,,,,
BAB 2073,DCS_BEREKUM_BRENYEKWA,BA,Vodafone,950.70,0.00000063,28,0.34,951.2,0.000033,33.00,0.63,950.2,0.000027,27.00,0.41,1851,0.000034,34.00,0.24,1841,0.000034,34.00,0.25,1851,0.000039,39.00,0.15,2163,0.00004,,40.00,0.14,2163,0.000036,36.00,0.22,2162,,36.00,0.22,,,,
BAB 2007,DCS_BEREKUM_GT,BA,Vodafone/MTN,953.70,0.00000031,35,0.17,958.1,0.000029,29.00,0.31,957.7,0.000031,31.00,0.26,1838,0.000028,28.00,0.48,1833,0.000029,29.00,0.42,1841,0.000033,33.00,0.28,2162,0.00004,,40.00,0.14,2162,0.00004,40.00,0.13,2163,,38.00,0.17,,,,
BAB 2033,DCS_KENYASI,BA,Vodafone,949.70,0.00000001,50,0.02,957.2,0.000054,54.00,0.01,957.2,0.000052,52.00,0.02,1860,0.000053,53.00,0.02,1860,0.000053,53.00,0.02,1860,0.00005,50.00,0.04,2162,0.000054,,54.00,0.02,2123,0.000058,58.00,0.01,212,,54.00,0.02,,,,
BB 2020,DROBO,BA,Vodafone,950.70,0.00000023,29,0.33,954.1,0.00003,30.00,0.23,953.2,0.000031,31.00,0.26,1830,0.000045,45.00,0.06,1824,0.00005,50.00,0.03,1830,0.000048,48.00,0.05,,,,,,,,,,,,,,,,,
GH 0365,Drobo,BA,Airtel,957.20,0.00000012,37,0.12,954.2,0.000033,33.00,0.12,937.7,0.000035,35.00,0.16,1815,0.000053,53.00,0.02,1817,0.000051,51.00,0.03,1827,0.000063,63.00,0,,,0,,,,,,,,0,,,,0,,
1816,Drobo ,BA,Tigo,977.20,0.00000033,30,0.03,957.1,0.000029,29.00,0.33,938.2,0.000041,41.00,0.08,1830,0.00005,50.00,0.04,1821,0.000053,53.00,0.02,1820,0.000046,46.00,0.06,,,,,,,,,,,,,,,,,
1898,DROMANKESE,BA,TIGO/VODAFONE/AIRTEL,946.70,0.00000024,30,0.29,959.2,0.000031,31.00,0.24,946.2,0.000031,31.00,0.27,1853,0.000064,64.00,0,1854,0.000063,63.00,0,1854,0.000058,58.00,0.01,,,,,,,,,,,,,,,,,
1887,Duadaso_No1,BA,Tigo/Vodafone,945.70,0.00000048,31,0.26,954.7,0.000025,25.00,0.48,943.7,0.000028,28.00,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
