site id,site name,location,operator,f1(MHz),pd1(W/m2),pd1(W/m2),pd1(W/m2),ic1(W/m2),f2(MHz),,pd2(W/m2),pd2(W/m2),ic2(W/m2)f3(MW/m2),f3(MHz),pd3(W/m2),pd3(W/m2),ic3(W/m2),  f4(MHz),pd4(W/m2),pd4(W/m2),ic4(W/m2),f5(MHz),pd5(W/m2),pd5(W/m2),ic5(W/m2),f6(MHz),pd6(W/m2),pd6(W/m2),ic6(W/m2),f7(MHz),pd7(W/m2),pd7(N/m2),ic7(W/m2),f8(MHz),pd8(W/m2),pd8(W/m2),ic8(W/m2),f9(MHz),pd9(W/m2),pd(W/m2),ic9(W/m2),f10(MHz),pd10(W/m2),pd(W/m2),1c10
,1707ANFOEGA,ANFOEGA,MTN,958.7,0.0000915,91.54,0.00009154,0.43,958.7,,0.0000657,65.66,0.37,954.7,0.0001051,105.09,0.46,957.2,0.0000466,46.6,0.31,957.2,0.0000993,99.28,0.45,959.2,0.0000784,78.37,0.4,957.2,0.0001487,148.71,0.6,959.2,0.0001953,195.28,0.63,959.2,0.0001573,157.29,0.63,959.2,0.0002026,202.55,0.65
,0792ANLOGA,ANLOGA,MTN,957.2,0.0000024,2.41,0.00000241,2.24,958.2,,0.0000014,1.35,1.72,957.7,0.0000021,2.08,2.08,958.2,0.0000015,1.45,1.74,958.2,0.0000015,1.46,1.74,957.2,0.0000013,1.28,1.63,958.7,0.0009067,906.7,1.8,958.7,0.0000014,1.38,1.67,958.2,0.0000017,1.65,1.85,958.2,0.0000012,1.18,1.58
,0792ANLOGA,ANLOGA,MTN,957.2,0.0000024,2.41,0.00000241,2.24,958.2,,0.0000014,1.35,1.72,957.7,0.0000021,2.08,2.08,958.2,0.0000015,1.48,1.74,958.2,0.0000015,1.46,1.74,957.2,0.0000013,1.28,1.63,958.7,0.0009067,906.7,1.5,958.7,0.0000014,1.35,1.67,958.2,0.0000017,1.65,1.85,958.2,0.0000012,1.15,1.55
,2760ANLOGA_2,ANLOGA,MTN,959.2,0.0008555,855.47,0.00085547,1.33,959.2,,0.0008627,862.73,1.34,958.2,0.0000013,1.27,1.62,959.7,0.0000013,1.33,1.66,959.2,0.0009543,954.3,1.58,957.7,0.0002802,280.21,0.76,956.2,0.0003328,332.76,0.83,959.2,0.000384,383.95,0.89,959.2,0.0005626,562.61,1.08,958.2,0.0001205,120.48,0.5
,2760ANLOGA_2,ANLOGA,MTN,959.2,0.0008555,855.47,0.00085547,1.33,959.2,,0.0008627,862.73,1.34,958.2,0.0000012,1.22,1.62,959.7,0.0000013,1.33,1.66,959.2,0.0009543,954.3,1.55,947.7,0.0002802,280.21,0.76,956.2,0.0003328,332.76,0.83,959.2,0.000384,383.95,1.89,959.2,0.0005026,502.61,1.08,958.2,0.0001205,120.48,0.5
,ANLOGA,ANLOGA,TIGO,958.2,0.00004569,45.69,,0.3,988.2,,0.00011343,113.43,0.61,957.7,0.00017993,179.93,0.3,958.2,0.00004602,46.02,0.3,957,0.00004647,46.47,0.31,958.7,0.00005169,51.69,0.32,958.2,0.00005056,50.56,0.32,958.2,0.00009184,91.84,0.43,957.2,0.00002197,21.97,0.21,956.2,0.00001618,16.18,0.2
,ANLOGA,ANLOGA,TIGO,958.2,0.00004569,45.69,,0.3,958.2,,0.00091343,913.43,0.61,957.7,0.00017993,179.93,0.3,958.2,0.00004607,46.07,0.3,957.2,0.00004647,46.47,0.31,958.7,0.00005169,51.69,0.32,958.2,0.00005056,50.56,0.32,958.2,0.00009184,91.84,0.43,987.2,0.00002197,21.97,0.21,956.2,0.00001618,16.18,0.2
,2705ANYAKO,ANYAKO,MTN/VODAFO ,958.7,0.00064118,641.18,,0.03,958.7,,0.00091071,910.71,0.04,959.2,0.00058439,584.39,0.03,959.2,0.00000124,1.24,0.05,959.2,0.00000115,1.15,0.04,958.7,0.00000111,1.11,0.34,958.7,0.00000116,1.16,0.04,957.7,0.00000141,1.41,0.05,955.7,0.0000015,1.5,0.05,956.7,0.000992,992,0.05
,2710ATIAVI,ATIANA,VODAFONE,953.7,0.00003045,30.45,,0,958.2,,0.00000754,7.54,0,955.2,0.00002869,28.69,0,944.2,0.00002892,28.92,0,944.2,0.00005442,54.42,0.01,940.2,0.00005471,54.71,0.01,940.2,0.00005384,53.84,0.01,940.2,0.0000543,54.3,0.01,953.7,0.00005217,52.17,0.01,949.2,0.00005226,52.26,0.01
,2710ATIAVI,ATIAVI,MTN,959.2,0.0009591,959.1,0.0009591,0.04,959.2,,0.0000015,1.52,0.05,959.2,0.0000013,1.32,0.05,959.2,0.000002,1.95,0.6,959.2,0.0000027,2.74,0.07,959.2,0.000501,501.02,0.04,955.2,0.0000011,1.13,0.04,955.2,0.0000025,2.5,0.07,959.2,0.000001,1,0.04,959.2,0.0000021,2.1,0.06
,2710ATIAVI,ATIAYI,MTN,959.2,0.0009599,959.91,0.00095991,0.04,959.2,,0.0000015,1.52,0.05,959.2,0.0000013,1.32,0.05,959.2,0.000002,1.95,0.06,959.2,0.0000027,2.74,0.07,959.2,0.000501,501.02,0.04,955.2,0.0000011,1.13,0.04,955.2,0.0000025,2.5,0.07,959.2,0.0000011,1.06,0.04,959.2,0.0000021,2.1,0.06
,ATIAVI,ATIAYI,VODAFONE,953.7,0.00003045,30.45,,0,958.2,,0.00000754,7.54,0,955.2,0.00002869,28.69,0,944.2,0.00009892,98.92,0,944.2,0.00005442,54.42,0.01,946.2,0.00005471,54.71,0.01,946.2,0.00005384,53.84,0.01,940.2,0.0000543,54.3,0.01,957.2,0.00005217,52.17,0.01,949.2,0.00005226,52.26,0.01
,1714ATORKOR,ATORKER,MTN,956.5,0.0002979,297.92,0.00029792,0.02,946.5,,0.0003257,325.71,0.02,957.4,0.0000026,2.58,0.07,947.3,0.0004028,402.75,0.03,950.2,0.0000023,2.28,0.06,954.2,0.0000013,1.26,0.03,946.2,0.0009887,988.68,0.04,946.2,0.0000017,1.67,0.06,958.7,0.0000018,1.78,0.07,954.7,0.0000036,3.64,0.08
,1714ATORKOR,ATORKOR,MTN,956.5,0.0002979,297.92,0.00029792,0.02,946.5,,0.0003257,325.71,0.02,957.4,0.0000026,2.58,0.07,947.3,0.0004028,402.75,0.03,950.2,0.0000023,2.28,0.06,954.2,0.0000013,1.26,0.03,946.2,0.0009887,988.68,0.04,946.2,0.0000017,1.67,0.06,958.7,0.0000018,1.78,0.07,954.7,0.0000036,3.64,0.08
,AYE DAKA,AYE DAKPA,MTN,957.7,0.0001698,169.8,0.0001698,0.59,955.7,,0.0002355,235.45,0.77,956.8,0.0000043,4.34,0.09,958.2,0.0002533,253.33,0.72,958.2,0.000001,1,1.44,955.7,0.0000001,0.14,0.95,958.2,0.0000533,53.27,1.53,956.2,0.0000127,12.71,0.16,956.2,0.0000035,3.49,0.08,956.7,0.0000054,5.42,0.1
,BANDA,BANDA,AIRTEL,958.2,0.00007015,70.15,,0.4,959.2,,0.00010163,101.63,0.46,958.7,0.0001243,124.3,0.5,958.7,0.00012453,124.53,0.52,958.7,0.00012453,124.53,0.52,958.2,,126.80.,0.51,959.2,0.0000621,62.1,0.37,958.7,0.00007669,76.69,0.4,958.7,0.00004807,48.07,0.31,958.7,0.00006256,62.56,0.36
,0822BATOR,BATOR,MTN,958.7,0.000217,217.02,0.00021702,0.67,959.2,,0.0001399,139.85,0.54,959.2,0.0001866,186.62,0.52,959.2,0.0001626,162.57,0.91,958.7,0.0001255,125.52,0.91,958.7,0.0001453,145.32,0.55,952.2,0.0001877,187.72,0.62,952.2,0.0001571,157.14,0.57,958.7,0.0001055,105.5,0.55,958.7,0.0000996,99.6,0.55
2713,2713BODADA,BODADA,MTN,958.2,0.0002672,267.24,0.00026724,0,955.2,,0.0000011,1.09,0.04,955.2,0.0006997,699.68,0.03,955.2,0,0.01,0,955.2,0.000008,8.02,0.1,939.2,0.0000369,36.86,0.08,959.2,0.0000024,2.41,0.07,959.2,0.0000024,2.41,0.07,999.2,0.0000023,2.3,0.01,952.7,0.0000018,1.77,0.06
